acc_x, acc_y, angular_z, stamp, 
0.04141088210795361, -0.10505273286113936, -0.4966606682941269, 3029000000, 
-0.021016281445887106, -0.12055961516941194, -0.497109559979552, 3034000000, 
0.016883606789697313, -0.10883837193348206, -0.49735116865753987, 3040000000, 
0.03601778033597015, -0.09236330358956078, -0.49828467419307954, 3045000000, 
0.023718744183324023, -0.10715353122080643, -0.4991037347946113, 3051000000, 
0.035185882599167606, -0.122745516434111, -0.5000499159555142, 3056000000, 
-0.016241502395429028, -0.12014456218939573, -0.5003885437978631, 3061000000, 
0.010660294424478715, -0.09081707367278677, -0.5009294344637806, 3066000000, 
0.01662640402203179, -0.13579158876283176, -0.5012937204223458, 3071000000, 
-0.001748255237494601, -0.07925182077729613, -0.5017913414268304, 3076000000, 
0.016516872385870712, -0.08335462706520635, -0.5018263880743707, 3081000000, 
0.0017274803220240428, -0.11892027711157956, -0.5019476624508967, 3088000000, 
-0.006299912139002391, -0.08860406053325012, -0.5015937729526905, 3094000000, 
0.0026013071983882544, -0.13603564933406684, -0.5015103321860163, 3100000000, 
0.025113380153345938, -0.1129231494172588, -0.5006934302459363, 3105000000, 
0.031577228538085894, -0.08827826885477494, -0.5007937930832752, 3112000000, 
0.011757388693260273, -0.12117709120285947, -0.5002984538282768, 3117000000, 
0.0007853339418002533, -0.11634473244851891, -0.49981734751893675, 3123000000, 
0.010349366004116928, -0.09305843623869825, -0.4994176146863088, 3128000000, 
0.029621957567731526, -0.11564433980328692, -0.4991409744058916, 3134000000, 
0.021389684244504062, -0.09868589911888419, -0.49903440388938675, 3139000000, 
-0.008627728906960454, -0.11966547815480359, -0.4988847575177371, 3144000000, 
-0.017475304009903138, -0.0935436186128043, -0.4987440134693336, 3149000000, 
-0.016593467676274478, -0.08994761289355728, -0.49878625002214816, 3154000000, 
0.012969317105537545, -0.08466631611090113, -0.49916884358555064, 3160000000, 
0.006605965958525619, -0.09502570502130737, -0.4993695260704244, 3165000000, 
-0.025500438187359017, -0.09684405092085056, -0.49952502202557936, 3170000000, 
0.02352638216923443, -0.08493922986596124, -0.49933078774650264, 3175000000, 
-0.009604688618934862, -0.13569664185199187, -0.49985196863990744, 3180000000, 
0.010859428170461542, -0.08107016139761258, -0.5001086016580853, 3185000000, 
0.022116341525102966, -0.06239957898338423, -0.4998652622488049, 3190000000, 
0.00481779543369103, -0.10899524373769734, -0.5009010519725501, 3195000000, 
0.033719570468779166, -0.09953366443836152, -0.5005156496601035, 3200000000, 
0.008242576433005484, -0.09839330179993054, -0.5003547363114033, 3207000000, 
-0.01185260348208467, -0.1103413069471551, -0.5007413946839182, 3212000000, 
-0.016059404851794187, -0.10471282284297144, -0.5001795790423406, 3217000000, 
-0.020578418216369906, -0.11070340129947909, -0.500514647842158, 3222000000, 
0.0039440948531052995, -0.10968905808672934, -0.500552331738991, 3227000000, 
-0.005612068898288955, -0.09499658215922363, -0.5002510106019418, 3232000000, 
0.00464803662322566, -0.09949340455232503, -0.5000509626546364, 3237000000, 
-0.0007531494418047402, -0.0956037053586682, -0.5001699460089414, 3242000000, 
0.022568413579581243, -0.09844262748089046, -0.4998466120965821, 3247000000, 
-0.030223701226444, -0.10382318776645734, -0.49985038242264135, 3252000000, 
-0.013256000158563755, -0.10534146873986751, -0.49971971000497495, 3257000000, 
-0.010736279748017578, -0.09671774559210806, -0.4996183685325294, 3262000000, 
0.0021314901143327917, -0.1001007989054906, -0.4997820236973693, 3268000000, 
-0.013611129959356136, -0.10689746109917306, -0.49937773326760665, 3273000000, 
-0.010491899454233088, -0.11967117680382616, -0.4995962162626877, 3278000000, 
-0.010829947531002708, -0.10564205534648324, -0.49950577984083006, 3283000000, 
